relationA,relationshipType,relationB
T_diversity,hasEduConcept,organisms
T_diversity,hasEduConcept,environment
T_ancestry,hasEduConcept,plants
T_ancestry,hasEduConcept,animals
T_ancestry,hasEduConcept,earth
T_ancestry,hasEduConcept,fossils
T_ancestry,hasEduConcept,organisms
T_ancestry,hasEduConcept,environment
T_ancestry,hasEduConcept,ancestry
T_diversity,hasEduConcept,diversity
Grade_3,hasEduTopic,T_adaptation
T_adaptation,equivalentTo,adaptation
T_adaptation,hasEduConcept,organisms
T_adaptation,hasEduConcept,survive
Grade_3,hasEduTopic,T_biodiversity
Grade_3,hasEduTopic,T_humans
T_humans,hasEduConcept,humans
T_biodiversity,hasEduConcept,habitat
T_biodiversity,hasEduConcept,natural
T_biodiversity,hasEduConcept,organisms
T_humans,hasEduConcept,habitat
T_humans,hasEduConcept,natural
T_humans,hasEduConcept,organisms
Grade_3,hasEduTopic,T_growth
Grade_3,hasEduTopic,T_development
T_growth,hasEduConcept,growth
T_development,hasEduConcept,development
T_growth,hasEduConcept,life_cycle
T_growth,hasEduConcept,animals
T_growth,hasEduConcept,plants
Grade_3,hasEduTopic,T_inheritance_of_traits
T_inheritance_of_traits,hasEduConcept,inheritance
T_inheritance_of_traits,hasEduConcept,traits
T_inheritance_of_traits,hasEduConcept,organisms
T_inheritance_of_traits,hasEduConcept,environment
Grade_3,hasEduTopic,T_variation_of_traits
T_variation_of_traits,hasEduConcept,variation
T_variation_of_traits,hasEduConcept,traits
T_variation_of_traits,hasEduConcept,organisms
T_variation_of_traits,hasEduConcept,inheritance
T_variation_of_traits,hasEduConcept,development
Grade_3,hasEduTopic,T_natural_selection
T_natural_selection,hasEduConcept,natural
T_natural_selection,hasEduConcept,selection
T_natural_selection,hasEduConcept,species
T_natural_selection,hasEduConcept,survival
T_natural_selection,hasEduConcept,mates
T_natural_selection,hasEduConcept,reproduce
Grade_3,hasEduTopic,T_ancestors
Grade_3,hasEduTopic,T_migration
Grade_3,hasEduTopic,T_immigration
Grade_3,hasEduTopic,T_supply_and_demand
T_supply_and_demand,hasEduConcept,supply
T_supply_and_demand,hasEduConcept,demand
Grade_3,hasEduTopic,T_banks
Grade_3,hasEduTopic,T_labor
Grade_3,hasEduTopic,T_land
Grade_3,hasEduTopic,T_trade
Grade_3,hasEduTopic,T_natural_resources
T_natural_resources,hasEduConcept,natural
T_natural_resources,hasEduConcept,resources
Grade_3,hasEduTopic,T_technology
Grade_3,hasEduTopic,T_laws
Grade_3,hasEduTopic,T_local_government
Grade_3,hasEduTopic,T_government
T_technology,hasEduConcept,technology
T_laws,hasEduConcept,laws
T_local_government,hasEduConcept,local
T_local_government,hasEduConcept,government
T_government,hasEduConcept,government
T_banks,hasEduConcept,banks
T_labor,hasEduConcept,labor
T_land,hasEduConcept,land
T_trade,hasEduConcept,trade
Grade_3,hasEduTopic,T_weather_and_climate
Grade_3,hasEduTopic,T_weather
Grade_3,hasEduTopic,T_climate
T_weather,hasEduConcept,weather
T_climate,hasEduConcept,climate
T_weather_and_climate,hasEduConcept,scientist
